Year,Week,DateId,Team,Opp,Position,Player,PassAtt,PassCom,PassYds,PassTD,PassINT,Pass300,RushAtt,RushYds,RushTD,Rush100,RecCatches,RecYds,RecTD,Rec100,FumL,TwoPT,DefYardsTotal,DefPointsTotal,DefSk,DefINT,DefFF,DefFR,DefTD,DefSft,DefBlk,DefReturnTD,FantasyPointsDraftKings,FantasyPointsFanDuel
2019,17,20191229,TEN,@ HOU,TE,Jonnu Smith,0,0,0,0,0,0,0,0,0,0,3.3,38.28,0.26,0.02,0.03,0.01,0,0,0,0,0,0,0,0,0,0,8.7,7
2019,17,20191229,TEN,@ HOU,TE,MyCole Pruitt,0,0,0,0,0,0,0,0,0,0,0.4,4.24,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8
2019,17,20191229,TEN,@ HOU,WR,A.J. Brown,0,0,0,0,0,0,0.3,1.65,0,0,4.8,68.88,0.51,0.24,0.05,0,0,0,0,0,0,0,0,0,0,0,15.6,12.4
2019,17,20191229,TEN,@ HOU,WR,Adam Humphries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TEN,@ HOU,WR,Cody Hollister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TEN,@ HOU,WR,Corey Davis,0,0,0,0,0,0,0,0,0,0,3,40.5,0.25,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,8.6,7
2019,17,20191229,TEN,@ HOU,WR,Darius Jennings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TEN,@ HOU,WR,Kalif Raymond,0,0,0,0,0,0,0,0,0,0,0.9,11.7,0.08,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2.5,2.1
2019,17,20191229,TEN,@ HOU,WR,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,2.7,31.86,0.28,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,7.6,6.2
2019,17,20191229,WAS,@ DAL,D,Washington Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.23,29.75,2.2,0.71,1.42,0.62,0.19,0.02,0.08,0.04,5.4,5.4
2019,17,20191229,WAS,@ DAL,FB,Michael Burton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,WAS,@ DAL,K,Dustin Hopkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,6.1
2019,17,20191229,TEN,@ HOU,QB,Marcus Mariota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,WAS,@ DAL,QB,Colt McCoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,WAS,@ DAL,QB,Dwayne Haskins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,WAS,@ DAL,RB,Adrian Peterson,0,0,0,0,0,0,16,60.8,0.43,0.14,1.9,13.68,0.04,0,0.12,0.04,0,0,0,0,0,0,0,0,0,0,12.5,11.1
2019,17,20191229,WAS,@ DAL,RB,Chris Thompson,0,0,0,0,0,0,3.9,14.43,0.09,0,3.3,26.4,0.11,0,0.06,0.02,0,0,0,0,0,0,0,0,0,0,8.6,6.9
2019,17,20191229,WAS,@ DAL,RB,Derrius Guice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,WAS,@ DAL,RB,Wendell Smallwood,0,0,0,0,0,0,0.7,2.59,0,0,0.2,1.5,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.7,0.5
2019,17,20191229,WAS,@ DAL,TE,Caleb Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,WAS,@ DAL,TE,Hale Hentges,0,0,0,0,0,0,0,0,0,0,0.7,7.35,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,1.7,1.4
2019,17,20191229,WAS,@ DAL,TE,Jeremy Sprinkle,0,0,0,0,0,0,0,0,0,0,1.8,18,0.14,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,4.4,3.5
2019,17,20191229,WAS,@ DAL,WR,Cam Sims,0,0,0,0,0,0,0,0,0,0,1.4,16.8,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,3.7,3
2019,17,20191229,WAS,@ DAL,WR,Kelvin Harmon,0,0,0,0,0,0,0,0,0,0,3.8,49.4,0.27,0.07,0.04,0,0,0,0,0,0,0,0,0,0,0,10.5,8.4
2019,17,20191229,WAS,@ DAL,WR,Paul Richardson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,WAS,@ DAL,WR,Steven Sims,0,0,0,0,0,0,0.6,3.9,0,0,5.1,56.1,0.25,0.13,0.05,0,0,0,0,0,0,0,0,0,0,0,12.9,10
2019,17,20191229,WAS,@ DAL,WR,Terry McLaurin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,WAS,@ DAL,WR,Trey Quinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
